Time (s),X,Y,Vx,Vy,Ax,Ay
35.20,1661,382,8.38,0.19,138.65,-91.57
35.23,1661,382,8.40,1.81,0.66,48.72
35.27,1661,382,8.87,1.27,14.06,-16.34
35.30,1661,382,5.99,3.15,-86.24,56.58
35.33,1662,382,10.27,0.83,128.43,-69.54
35.37,1662,382,7.60,0.24,-80.09,-17.85
35.40,1662,383,1.65,13.83,-178.64,407.65
35.43,1663,382,16.85,-10.86,456.15,-740.67
35.47,1663,382,7.25,1.79,-287.95,379.61
35.50,1663,383,3.01,12.38,-127.44,317.61
35.53,1663,382,14.10,-10.52,332.67,-687.00
35.57,1664,383,4.07,12.60,-300.81,693.48
35.60,1664,383,4.93,1.58,25.71,-330.33
35.63,1664,383,9.25,0.38,129.75,-36.01
35.67,1664,383,-6.19,1.16,-463.07,23.21
35.70,1664,383,11.89,-10.26,542.39,-342.42
35.73,1664,383,2.77,9.78,-273.78,601.03
35.77,1665,383,5.06,0.53,68.77,-277.46
35.80,1665,383,11.94,0.26,206.32,-8.21
35.83,1665,383,10.59,-0.95,-40.54,-36.12
35.87,1665,383,3.97,-0.10,-198.41,25.49
35.90,1666,383,10.03,-9.81,181.82,-291.33
35.93,1666,383,11.05,8.36,30.43,544.95
35.97,1666,383,3.02,0.61,-240.71,-232.28
36.00,1667,382,23.91,-13.65,626.44,-427.92
36.03,1667,382,1.49,-0.78,-672.58,386.14
36.07,1667,383,-0.47,10.86,-58.78,349.06
36.10,1667,382,5.09,-11.43,166.77,-668.63
36.13,1667,383,-0.27,11.36,-160.84,683.76
36.17,1667,383,3.26,-0.24,106.13,-348.07
36.20,1667,382,5.30,-10.56,60.97,-309.62
36.23,1668,382,17.27,-2.43,359.25,243.95
36.27,1669,382,17.91,-2.06,19.12,10.99
36.30,1669,382,4.30,0.41,-408.36,74.32
36.33,1669,382,1.19,-1.46,-93.16,-56.28
36.37,1669,382,4.11,0.56,87.45,60.56
36.40,1669,382,14.87,-3.14,322.89,-110.77
36.43,1669,382,-8.87,1.87,-712.24,150.18
36.47,1670,382,18.48,-2.49,820.46,-130.68
36.50,1670,382,4.10,0.28,-431.21,83.08
36.53,1670,382,15.43,-1.84,339.81,-63.56
36.57,1670,382,-10.74,2.64,-784.97,134.14
36.60,1671,382,18.07,-1.83,864.07,-133.84
36.63,1671,382,16.67,-2.55,-41.86,-21.67
36.67,1671,382,-10.53,2.17,-815.95,141.59
36.70,1671,382,17.66,-1.32,845.73,-104.89
36.73,1672,382,4.86,0.11,-383.97,42.93
36.77,1672,382,3.12,1.60,-52.29,44.77
36.80,1672,383,0.82,11.14,-69.10,286.11
36.83,1672,382,19.69,-11.54,566.35,-680.22
36.87,1673,382,4.03,0.04,-469.89,347.25
36.90,1673,382,3.31,1.64,-21.64,48.20
36.93,1673,382,0.56,0.07,-82.40,-47.16
36.97,1673,382,16.68,-1.71,483.62,-53.39
37.00,1673,382,-8.73,2.03,-762.45,112.09
37.03,1673,382,1.86,-0.37,317.83,-71.93
37.07,1674,382,16.64,-1.36,443.30,-29.75
37.10,1674,382,1.82,-0.35,-444.62,30.49
37.13,1674,382,20.05,-9.61,547.01,-278.04
37.17,1674,382,-13.84,9.73,-1016.89,580.27
37.20,1674,382,1.72,-0.85,466.92,-317.26
37.23,1674,382,16.20,-2.28,434.40,-43.12
37.27,1675,382,2.50,-0.58,-410.89,51.09
37.30,1675,382,3.48,-0.48,29.33,3.05
37.33,1675,382,4.75,-9.74,37.90,-277.76
37.37,1675,382,11.59,5.75,205.22,464.58
37.40,1675,382,2.82,-1.29,-263.12,-211.27
37.43,1675,382,4.12,-0.40,39.22,26.78
37.47,1676,382,14.92,-1.98,323.99,-47.24
37.50,1676,382,3.85,-1.11,-332.12,26.01
37.53,1676,382,2.17,-0.78,-50.54,9.75
37.57,1676,382,3.05,-0.23,26.48,16.67
37.60,1676,382,2.94,0.29,-3.41,15.52
37.63,1677,382,14.74,-2.73,354.09,-90.66
37.67,1677,381,9.06,-11.58,-170.40,-265.48
37.70,1677,381,2.13,-0.99,-207.97,317.64
37.73,1678,381,16.29,-2.33,424.95,-40.21
37.77,1677,381,-10.80,1.54,-812.77,116.18
37.80,1678,381,15.33,-1.90,783.87,-103.11
37.83,1678,381,3.46,-0.48,-356.18,42.57
37.87,1678,381,3.48,-0.59,0.66,-3.16
37.90,1679,381,16.70,-2.20,396.72,-48.50
37.93,1678,381,-11.99,1.06,-860.89,98.00
37.97,1679,381,17.37,-2.26,880.88,-99.62
38.00,1679,381,3.71,-0.19,-409.79,62.10
38.03,1679,381,4.79,-8.82,32.30,-259.11
38.07,1680,380,19.05,-4.09,427.81,142.03
38.10,1680,380,1.24,-0.79,-534.27,98.88
38.13,1680,380,3.92,-0.96,80.42,-5.08
38.17,1680,380,13.19,-2.02,278.06,-31.61
38.20,1680,380,-8.17,0.75,-640.72,82.86
38.23,1681,380,15.21,-1.15,701.48,-56.80
38.27,1681,380,3.11,-0.37,-363.10,23.43
38.30,1681,380,13.40,-1.46,308.72,-32.90
38.33,1681,380,-10.94,0.49,-730.04,58.61
38.37,1681,380,13.80,-1.99,742.13,-74.40
38.40,1681,380,-9.23,0.05,-690.93,61.22
38.43,1681,380,1.85,0.02,332.45,-0.85
38.47,1681,380,13.57,-1.74,351.45,-52.82
38.50,1681,380,1.38,-0.54,-365.62,36.04
38.53,1682,380,15.01,-2.27,408.80,-51.86
38.57,1682,380,-8.06,-5.93,-692.14,-110.00
38.60,1682,380,12.92,-2.04,629.63,116.65
38.63,1682,380,1.32,-1.30,-348.16,22.36
38.67,1682,380,1.03,-5.01,-8.68,-111.48
38.70,1682,380,0.81,-0.60,-6.70,132.30
38.73,1682,379,0.55,-4.79,-7.80,-125.55
38.77,1682,379,2.69,-4.23,64.38,16.64
38.80,1682,379,1.74,-1.03,-28.45,96.19
38.83,1683,379,15.26,-8.97,405.51,-238.21
38.87,1683,379,-9.90,-0.62,-754.76,250.32
38.90,1683,379,12.71,-5.38,678.30,-142.60
38.93,1683,379,0.77,-2.75,-358.15,78.72
38.97,1683,379,1.38,-4.65,18.13,-56.85
39.00,1683,378,1.46,-3.04,2.64,48.39
39.03,1683,378,2.07,-6.39,18.13,-100.74
39.07,1683,378,2.94,-6.51,26.26,-3.60
39.10,1684,378,13.89,-3.50,328.27,90.55
39.13,1684,378,3.27,-4.90,-318.49,-42.19
39.17,1684,378,-7.03,-3.22,-308.94,50.59
39.20,1684,377,17.34,-6.85,731.03,-109.07
39.23,1684,377,-11.52,-0.15,-865.94,200.91
39.27,1684,377,0.30,-2.58,354.64,-72.81
39.30,1684,377,0.33,-6.24,0.99,-109.89
39.33,1684,377,-0.43,-3.35,-22.74,86.90
39.37,1684,377,11.55,-6.22,359.36,-86.05
39.40,1684,377,-11.37,-4.52,-687.52,50.76
39.43,1684,377,-1.82,3.39,286.30,237.50
39.47,1684,376,16.01,-14.49,535.03,-536.35
39.50,1684,376,0.21,-8.32,-474.06,184.90
39.53,1684,376,2.59,-2.86,71.52,163.72
39.57,1684,376,-10.91,-0.89,-404.96,59.11
39.60,1684,376,9.11,-4.49,600.51,-108.00
39.63,1684,376,-0.18,-2.10,-278.83,71.77
39.67,1685,376,15.02,1.77,456.15,116.02
39.70,1684,375,-12.45,-5.99,-824.19,-232.58
39.73,1684,375,-1.85,-2.51,318.05,104.18
39.77,1684,375,1.87,-1.28,111.62,37.05
39.80,1685,375,15.38,-6.50,405.29,-156.75
39.83,1684,375,-14.07,0.57,-883.52,212.17
39.87,1685,375,16.62,-9.89,920.65,-313.80
39.90,1685,375,1.45,-0.60,-454.94,278.75
39.93,1685,375,0.72,-1.53,-21.97,-27.93
39.97,1685,375,-12.63,-3.95,-400.45,-72.62
40.00,1685,374,11.41,-4.30,721.25,-10.49
40.03,1685,374,2.22,-10.11,-275.98,-174.11
40.07,1685,374,-0.34,2.60,-76.79,381.06
40.10,1685,374,0.88,-4.98,36.80,-227.42
40.13,1685,374,0.13,-1.13,-22.52,115.77
40.17,1686,374,16.90,-7.19,502.95,-181.80
40.20,1685,374,-14.86,3.73,-952.62,327.42
40.23,1685,374,-1.09,-0.74,412.98,-134.12
40.27,1686,374,13.52,-3.39,438.46,-79.46
40.30,1685,374,-13.04,0.35,-797.06,112.31
40.33,1685,374,-1.37,-0.94,350.24,-38.70
40.37,1686,373,14.36,-8.21,471.97,-218.13
40.40,1685,373,-15.98,-1.40,-910.33,204.37
40.43,1685,373,0.66,-1.64,499.22,-7.33
40.47,1685,373,0.12,-1.96,-16.15,-9.72
40.50,1685,373,-1.59,-3.28,-51.31,-39.36
40.53,1685,373,-1.05,-0.79,16.26,74.54
40.57,1685,373,-0.52,-1.78,15.82,-29.58
40.60,1685,373,-0.03,-8.10,14.72,-189.68
40.63,1685,373,-4.48,2.66,-133.48,322.89
40.67,1684,373,-15.27,-4.61,-323.77,-218.08
40.70,1684,373,-1.56,1.43,411.22,181.11
40.73,1684,373,-1.04,-6.91,15.60,-250.16
40.77,1685,372,11.43,-3.74,374.19,94.98
40.80,1684,372,-15.96,0.45,-821.67,125.88
40.83,1684,372,-0.48,-1.86,464.28,-69.32
40.87,1684,372,-3.68,-0.86,-95.80,30.05
40.90,1684,372,-14.41,0.51,-321.90,40.98
40.93,1684,372,10.90,-1.18,759.27,-50.84
40.97,1683,372,-13.71,0.54,-738.50,51.80
41.00,1683,372,-1.32,0.81,371.89,8.02
41.03,1683,372,-4.48,0.46,-94.81,-10.46
41.07,1683,372,-1.15,0.56,99.98,3.05
41.10,1683,372,-3.10,-0.39,-58.56,-28.51
41.13,1683,372,-15.44,1.68,-370.24,61.96
41.17,1683,372,-2.12,0.18,399.46,-44.85
41.20,1682,372,-6.11,-0.06,-119.64,-7.33
41.23,1682,373,-3.63,0.92,74.60,29.31
41.27,1682,372,-12.92,-0.88,-278.72,-53.78
41.30,1682,373,7.41,0.62,609.74,44.82
41.33,1681,373,-15.18,5.08,-677.64,133.84
41.37,1681,373,-4.57,0.48,318.16,-138.07
41.40,1681,373,-3.16,0.27,42.52,-6.10
41.43,1681,373,-13.58,0.49,-312.67,6.62
41.47,1681,373,8.17,-1.79,652.37,-68.61
41.50,1680,373,-17.13,2.02,-758.83,114.53
41.53,1680,373,-4.75,0.18,371.34,-55.37
41.57,1680,373,-0.89,-3.75,115.80,-117.97
41.60,1680,373,-13.45,-1.19,-376.83,76.96
41.63,1680,373,5.97,-0.08,582.71,33.12
41.67,1679,373,-16.63,1.18,-677.97,38.01
41.70,1679,373,-2.57,-0.39,421.66,-47.27
41.73,1679,373,-14.36,1.45,-353.54,55.18
41.77,1679,373,-4.22,0.79,304.21,-19.67
41.80,1679,373,-1.96,-0.22,67.57,-30.27
41.83,1678,373,-17.28,-0.54,-459.56,-9.67
41.87,1678,373,2.61,-0.09,596.78,13.60
41.90,1678,373,-13.65,0.11,-487.90,5.99
41.93,1678,373,-5.39,-0.37,247.96,-14.50
41.97,1677,373,-6.31,-0.23,-27.80,4.28
42.00,1677,373,-16.16,1.60,-295.53,54.93
42.03,1677,373,-6.02,0.30,304.43,-38.95
42.07,1676,373,-16.58,1.17,-316.85,26.09
42.10,1676,373,5.65,-1.19,666.76,-70.89
42.13,1675,373,-30.35,4.07,-1079.96,157.71
42.17,1675,373,-6.14,-0.65,726.31,-141.53
42.20,1675,373,-4.79,-0.94,40.54,-8.62
42.23,1675,373,-6.32,-1.63,-46.03,-20.71
42.27,1675,373,-4.72,-1.80,48.12,-5.08
42.30,1674,373,-16.82,1.29,-362.99,92.56
42.33,1674,373,-4.40,-1.16,372.55,-73.44
42.37,1674,373,-5.78,-2.18,-41.31,-30.60
42.40,1673,373,-15.48,2.63,-291.14,144.28
42.43,1673,373,-7.80,-1.55,230.49,-125.30
42.47,1673,373,-2.77,-1.46,150.84,2.66
42.50,1673,373,-2.40,0.36,11.21,54.52
42.53,1672,373,-20.46,1.49,-541.96,33.78
42.57,1672,373,-7.25,3.18,396.39,50.81
42.60,1672,373,-2.79,-1.77,133.92,-148.48
42.63,1671,373,-20.83,1.62,-541.19,101.71
42.67,1671,373,-2.89,-1.18,538.11,-83.99
42.70,1671,373,-2.56,-1.90,10.00,-21.56
42.73,1671,373,-2.45,-1.33,3.08,17.11
42.77,1670,372,-16.35,-9.11,-416.82,-233.49
42.80,1670,372,-3.50,0.03,385.29,274.30
42.83,1670,372,-2.59,0.18,27.47,4.31
42.87,1670,372,-3.16,5.12,-17.25,148.23
42.90,1670,372,-1.20,-8.62,58.78,-412.23
42.93,1669,372,-21.64,1.05,-613.15,290.34
42.97,1669,372,-0.62,-0.35,630.73,-42.05
43.00,1670,372,19.16,-4.25,593.37,-116.95
43.03,1669,372,-22.98,1.80,-1264.31,181.44
43.07,1669,372,-0.14,-1.78,685.22,-107.34
43.10,1668,372,-22.87,1.93,-681.92,111.13
43.13,1669,372,19.98,-3.60,1285.73,-165.98
43.17,1669,372,-0.11,-0.18,-602.82,102.58
43.20,1668,372,-22.84,0.98,-681.81,34.85
43.23,1668,372,0.15,-0.12,689.61,-32.96
43.27,1669,372,20.19,-3.03,601.06,-87.23
43.30,1668,372,-20.79,2.43,-1229.37,163.78
43.33,1668,372,-2.39,-0.47,552.17,-86.96
43.37,1668,372,-0.92,0.02,44.06,14.64
43.40,1668,372,-0.01,-0.22,27.36,-7.09
43.43,1668,372,1.10,0.79,33.29,30.32
43.47,1668,372,-0.29,0.30,-41.64,-14.83
43.50,1669,372,21.35,-2.49,648.96,-83.69
43.53,1668,372,-21.23,2.87,-1277.38,160.92
43.57,1668,372,-0.37,0.48,625.78,-71.71
43.60,1668,372,0.39,0.23,22.85,-7.55
43.63,1668,372,-0.59,0.67,-29.44,13.27
43.67,1668,372,0.20,0.64,23.73,-0.91
43.70,1668,372,-0.26,1.39,-13.73,22.36
43.73,1668,372,0.06,0.11,9.67,-38.48
43.77,1667,372,-20.92,4.01,-629.41,117.09
43.80,1668,372,20.73,-1.38,1249.37,-161.83
43.83,1668,372,-0.07,0.78,-623.80,65.07
43.87,1668,373,1.22,8.11,38.45,219.89
43.90,1668,373,-0.85,1.12,-62.07,-209.92
43.93,1668,373,0.09,4.70,28.23,107.45
43.97,1667,373,-19.92,3.06,-600.29,-49.25
44.00,1668,373,20.07,-1.44,1199.71,-134.97
44.03,1668,373,1.44,-5.80,-558.76,-130.65
44.07,1668,373,-1.09,7.06,-76.14,385.81
44.10,1668,373,2.22,1.81,99.32,-157.49
44.13,1668,373,-0.58,0.44,-83.94,-41.09
44.17,1668,373,0.10,0.93,20.54,14.64
44.20,1668,373,0.29,1.01,5.49,2.25
44.23,1668,373,1.47,2.72,35.60,51.42
44.27,1668,373,0.74,0.02,-21.86,-81.05
44.30,1668,373,0.52,0.37,-6.81,10.63
44.33,1668,373,0.37,1.68,-4.39,39.08
44.37,1669,373,21.10,-2.78,622.05,-133.73
44.40,1668,373,-19.00,4.92,-1203.00,231.18
44.43,1669,373,20.73,-2.39,1191.69,-219.34
44.47,1668,373,-19.74,3.50,-1214.10,176.52
44.50,1669,373,22.68,-1.83,1272.77,-159.71
44.53,1669,373,0.89,1.29,-653.91,93.55
44.57,1668,373,-20.74,3.62,-648.74,69.87
44.60,1668,373,0.57,0.31,639.18,-99.23
44.63,1669,373,22.97,-2.88,672.03,-95.88
44.67,1669,373,0.03,1.11,-688.07,119.70
44.70,1669,373,0.36,-0.28,9.89,-41.67
44.73,1669,373,1.39,1.00,30.87,38.56
44.77,1669,373,0.48,0.04,-27.47,-28.81
44.80,1669,373,0.51,0.16,1.10,3.54
44.83,1669,373,1.31,0.18,23.95,0.63
44.87,1669,373,0.71,0.40,-18.02,6.62
44.90,1669,373,0.27,-0.77,-13.29,-35.21
44.93,1670,373,20.72,-3.17,613.70,-71.88
44.97,1669,373,-18.26,3.27,-1169.60,193.06
45.00,1670,373,20.43,-3.38,1160.71,-199.57
45.03,1670,373,0.89,-0.17,-586.01,96.41
45.07,1670,373,2.04,0.51,34.50,20.52
45.10,1670,373,-0.32,0.37,-70.97,-4.45
45.13,1670,373,0.74,0.20,31.86,-4.92
45.17,1670,373,1.88,0.38,34.17,5.44
45.20,1670,373,0.92,0.43,-28.89,1.29
45.23,1670,373,0.00,0.72,-27.36,8.82
45.27,1670,373,3.30,1.04,98.77,9.64
45.30,1671,373,19.53,-2.86,487.02,-117.03
45.33,1671,373,-15.41,4.85,-1048.21,231.26
45.37,1671,373,17.52,-3.12,987.78,-239.06
45.40,1671,373,2.91,1.23,-438.13,130.49
45.43,1671,373,0.29,1.89,-78.77,19.94
45.47,1671,373,2.74,1.98,73.50,2.50
45.50,1671,374,3.57,2.24,25.16,7.94
45.53,1672,374,2.32,0.09,-37.57,-64.46
45.57,1672,373,18.61,-2.48,488.78,-77.21
45.60,1672,373,0.91,0.30,-531.08,83.28
45.63,1672,374,1.64,8.74,21.75,253.34
45.67,1673,373,20.46,-8.96,564.81,-530.94
45.70,1672,374,-12.67,5.06,-993.93,420.61
45.73,1673,374,15.95,-2.44,858.58,-225.05
45.77,1673,374,-12.27,3.60,-846.72,181.22
45.80,1673,374,-0.80,6.53,344.20,87.92
45.83,1673,374,6.29,-3.23,212.59,-292.73
45.87,1673,374,14.46,-1.99,245.21,37.08
45.90,1673,374,3.31,1.36,-334.42,100.61
45.93,1674,374,16.54,-2.28,396.72,-109.31
45.97,1674,374,4.14,1.06,-372.00,100.14
46.00,1674,374,1.65,0.59,-74.60,-14.20
46.03,1674,374,1.98,0.24,9.78,-10.33
46.07,1674,374,3.85,0.17,56.03,-2.06
46.10,1675,374,18.09,-1.26,427.37,-42.96
46.13,1675,374,-11.65,3.45,-892.09,141.28
46.17,1675,374,16.38,-1.44,840.89,-146.83
46.20,1676,374,19.54,-1.18,94.70,7.88
46.23,1675,374,-12.90,2.70,-973.17,116.40
46.27,1676,374,17.14,4.65,900.99,58.56
46.30,1676,374,-9.57,-1.61,-801.12,-187.70
46.33,1676,374,17.13,-0.74,800.90,26.09
46.37,1677,374,18.89,3.64,52.95,131.31
46.40,1677,374,3.35,1.27,-466.37,-71.05
46.43,1676,374,-13.80,-1.20,-514.49,-74.30
46.47,1677,374,18.28,4.08,962.51,158.67
46.50,1678,374,18.92,0.58,19.23,-105.22
46.53,1677,374,-12.18,2.58,-933.07,60.10
46.57,1678,374,19.45,-0.58,949.00,-94.89
46.60,1678,374,4.41,-1.22,-451.21,-19.14
46.63,1678,374,2.23,4.80,-65.59,180.67
46.67,1679,374,20.19,-2.83,538.88,-228.90
46.70,1679,374,3.45,4.37,-502.18,216.02
46.73,1679,375,1.33,6.63,-63.50,67.62
46.77,1679,375,2.83,2.00,45.04,-138.81
46.80,1679,375,3.07,0.07,6.92,-57.87
46.83,1679,375,3.53,-1.94,13.95,-60.26
46.87,1680,375,19.39,2.78,475.71,141.45
46.90,1681,375,19.44,-0.83,1.54,-108.19
46.93,1680,375,-13.91,4.12,-1000.41,148.56
46.97,1681,375,19.76,-0.89,1010.19,-150.32
47.00,1680,375,-16.00,3.63,-1072.81,135.63
47.03,1681,375,20.66,-1.08,1099.62,-141.42
47.07,1681,375,2.30,1.31,-550.74,71.85
47.10,1681,375,2.65,1.80,10.44,14.47
47.13,1681,375,1.12,0.24,-45.81,-46.64
47.17,1682,375,20.42,-0.39,578.87,-18.90
47.20,1682,375,2.86,1.49,-526.68,56.41
47.23,1682,375,0.95,0.63,-57.35,-25.76
47.27,1682,375,2.14,1.25,35.71,18.54
47.30,1682,375,0.16,4.24,-59.44,89.70
47.33,1682,375,2.34,0.96,65.59,-98.38
47.37,1683,375,17.70,-1.05,460.55,-60.45
47.40,1682,375,-13.32,3.14,-930.32,125.88
47.43,1683,375,19.05,-2.47,971.08,-168.26
47.47,1683,375,0.56,-0.30,-554.92,64.96
47.50,1683,375,2.97,0.33,72.40,18.79
47.53,1683,375,1.18,3.92,-53.72,107.72
47.57,1683,375,0.30,0.24,-26.26,-110.33
47.60,1684,375,20.31,-4.31,600.07,-136.37
47.63,1684,375,3.10,1.21,-516.25,165.45
47.67,1684,375,2.37,0.66,-21.86,-16.56
47.70,1684,375,0.13,3.20,-67.13,76.35
47.73,1684,375,2.23,0.72,62.95,-74.40
47.77,1684,375,1.28,-2.21,-28.45,-87.86
47.80,1684,375,2.34,1.81,31.64,120.49
47.83,1685,375,16.47,-1.95,424.07,-112.86
47.87,1684,376,-14.02,5.67,-914.72,228.71
47.90,1685,376,18.37,-2.04,971.74,-231.43
47.93,1685,375,1.08,-1.58,-518.66,13.82
47.97,1685,375,2.73,0.05,49.33,49.16
48.00,1685,376,0.80,2.79,-57.79,81.93
48.03,1685,376,0.11,0.43,-20.76,-70.67
48.07,1685,376,0.47,1.22,10.77,23.76
48.10,1685,376,1.42,-1.89,28.45,-93.25
48.13,1685,376,1.62,3.15,6.15,151.01
48.17,1685,376,0.55,-0.07,-32.19,-96.62
48.20,1686,376,18.85,-1.32,548.99,-37.35
48.23,1685,376,-14.84,-0.15,-1010.63,35.10
48.27,1686,376,18.54,0.83,1001.40,29.31
48.30,1686,376,-0.29,0.60,-565.03,-6.78
48.33,1686,376,3.45,-1.66,112.17,-68.01
48.37,1686,376,0.32,2.30,-93.71,118.84
48.40,1686,376,0.89,2.92,16.92,18.68
48.43,1685,376,-15.21,2.12,-482.96,-24.06
48.47,1686,376,17.36,-0.32,977.23,-73.20
48.50,1686,376,0.42,0.71,-508.23,31.04
48.53,1686,376,-0.06,0.88,-14.39,4.89
48.57,1686,376,1.06,1.67,33.51,23.76
48.60,1686,376,0.85,0.54,-6.15,-33.78
48.63,1686,376,1.75,1.71,26.81,35.16
48.67,1686,376,-0.43,0.22,-65.37,-44.88
48.70,1686,376,1.05,0.73,44.49,15.24
48.73,1686,376,2.18,0.69,33.84,-0.99
48.77,1686,376,1.03,0.07,-34.61,-18.54
48.80,1686,376,-1.18,0.69,-66.25,18.62
48.83,1687,376,17.13,-1.55,549.43,-67.40
48.87,1686,376,-11.52,1.93,-859.57,104.51
48.90,1686,376,-0.00,0.22,345.52,-51.25
48.93,1686,376,-0.27,0.93,-8.02,21.15
48.97,1686,376,0.36,0.17,19.01,-22.60
49.00,1686,376,-0.26,0.68,-18.68,15.08
49.03,1686,376,-0.14,-0.62,3.52,-38.78
49.07,1686,376,-0.31,1.43,-5.05,61.30
49.10,1686,376,-0.52,-0.02,-6.37,-43.40
49.13,1686,376,-0.42,-0.53,2.97,-15.30
49.17,1686,376,0.56,-1.59,29.55,-31.97
49.20,1686,376,-0.64,-0.30,-35.93,38.92
49.23,1686,376,-2.59,0.36,-58.67,19.80
49.27,1686,376,-0.40,-0.12,65.92,-14.58
49.30,1686,376,-0.20,-0.34,5.93,-6.48
49.33,1686,376,-12.96,0.02,-382.87,10.82
49.37,1686,376,10.63,-2.02,707.63,-61.11
49.40,1686,376,-13.81,1.12,-733.01,93.99
49.43,1686,376,-1.41,1.51,371.89,11.78
49.47,1686,376,-1.80,-0.34,-11.76,-55.51
49.50,1686,376,-0.87,0.02,27.91,10.77
49.53,1686,376,0.97,-3.28,55.37,-99.01
49.57,1686,376,14.83,-4.10,415.72,-24.53
49.60,1685,376,-31.61,5.30,-1393.18,282.05
49.63,1686,376,15.23,-1.23,1405.04,-196.11
49.67,1686,376,1.55,-3.51,-410.34,-68.14
49.70,1686,376,0.85,-0.02,-20.87,104.70
49.73,1685,376,-18.40,3.14,-577.66,94.65
49.77,1686,376,16.19,-3.62,1037.88,-202.70
49.80,1685,376,-18.01,3.63,-1026.23,217.53
49.83,1685,376,-1.60,-0.54,492.30,-125.16
49.87,1685,376,0.92,0.51,75.81,31.42
49.90,1685,376,-2.45,4.13,-101.18,108.76
49.93,1685,376,0.92,0.37,100.96,-113.08
49.97,1685,376,-0.26,-0.06,-35.27,-12.69
50.00,1685,376,1.42,0.45,50.43,15.33
50.03,1685,376,-1.90,-0.27,-99.54,-21.78
50.07,1686,376,20.56,-8.56,673.57,-248.62
50.10,1684,376,-40.03,6.05,-1817.47,438.33
50.13,1684,376,0.49,-0.05,1215.64,-182.95
50.17,1684,376,-0.27,0.42,-23.07,14.06
50.20,1685,376,17.82,2.74,542.72,69.52
50.23,1684,376,-18.22,4.16,-1080.94,42.74
50.27,1685,376,22.05,-10.29,1207.95,-433.71
50.30,1684,376,-20.68,4.52,-1281.88,444.42
50.33,1685,376,17.23,3.88,1137.19,-19.23
50.37,1684,376,-19.33,3.08,-1096.77,-23.90
50.40,1684,376,1.26,-6.93,617.76,-300.26
50.43,1684,376,-2.50,7.83,-112.83,442.58
50.47,1684,376,2.15,-7.97,139.53,-474.03
50.50,1684,376,-0.56,10.02,-81.30,539.79
50.53,1685,376,23.09,-11.76,709.61,-653.22
50.57,1684,377,-22.16,13.99,-1357.58,772.23
50.60,1685,376,18.26,-2.08,1212.45,-481.94
50.63,1684,377,-20.19,4.03,-1153.23,183.20
50.67,1685,376,20.76,-2.41,1228.49,-193.22
50.70,1684,376,-17.67,-6.49,-1152.91,-122.28
50.73,1685,377,16.79,9.34,1033.70,474.94
50.77,1684,377,-19.65,3.82,-1093.36,-165.54
50.80,1684,377,-0.29,1.23,580.96,-77.78
50.83,1685,377,21.38,-0.84,650.06,-62.07
50.87,1685,377,-0.96,1.35,-670.28,65.73
50.90,1685,377,-0.21,0.56,22.74,-23.79
50.93,1685,377,1.98,0.66,65.48,2.86
50.97,1685,377,-3.27,10.90,-157.32,307.32
51.00,1685,377,-0.30,1.96,88.99,-268.04
51.03,1684,377,-18.25,-6.59,-538.55,-256.53
51.07,1685,377,21.48,-1.56,1191.91,150.70
51.10,1685,377,-3.47,12.03,-748.39,407.65
51.13,1685,377,0.03,0.82,104.92,-336.26
51.17,1684,378,-20.29,5.30,-609.63,134.42
51.20,1685,378,21.09,-1.30,1241.35,-197.84
51.23,1685,378,-0.01,1.43,-632.92,81.88
51.27,1685,378,-0.68,2.54,-20.00,33.21
51.30,1684,378,-19.52,4.85,-565.14,69.21
51.33,1684,378,-0.07,2.27,583.26,-77.34
51.37,1685,378,21.46,-1.84,646.11,-123.38
51.40,1685,378,-4.18,12.91,-769.37,442.64
51.43,1685,378,1.22,1.71,161.94,-336.07
51.47,1685,378,3.19,-12.10,59.11,-414.32
51.50,1685,378,17.78,11.09,437.81,695.93
51.53,1684,379,-40.97,9.97,-1762.43,-33.84
51.57,1685,379,19.72,-2.35,1820.54,-369.53
51.60,1685,379,0.12,1.47,-587.77,114.70
51.63,1684,379,-21.05,3.66,-635.12,65.53
51.67,1685,379,20.78,-1.90,1254.75,-166.61
51.70,1685,379,-0.55,1.26,-639.84,94.76
51.73,1684,379,-19.93,3.82,-581.29,76.88
51.77,1685,379,22.10,-1.17,1260.68,-149.91
51.80,1685,379,-0.33,0.68,-672.91,55.67
51.83,1685,379,0.26,0.52,17.80,-4.94
51.87,1685,379,0.16,0.85,-2.86,9.97
51.90,1684,379,-19.76,2.97,-597.66,63.61
51.93,1684,379,-0.27,0.48,584.58,-74.87
51.97,1685,379,21.22,-1.66,644.68,-64.19
52.00,1685,379,-0.68,0.53,-656.87,65.70
52.03,1684,379,-21.09,2.47,-612.49,58.45
52.07,1685,379,20.30,-1.40,1241.89,-116.29
52.10,1685,379,-3.78,14.48,-722.57,476.45
52.13,1684,380,-19.86,3.51,-482.19,-329.21
52.17,1685,380,19.82,-1.46,1190.37,-148.92
52.20,1684,379,-17.10,-11.68,-1107.64,-306.63
52.23,1685,380,19.54,15.77,1099.29,823.43
52.27,1685,380,-0.30,0.24,-595.35,-465.79
52.30,1685,380,-0.65,1.09,-10.55,25.60
52.33,1684,380,-21.00,2.73,-610.40,48.92
52.37,1685,380,20.12,-0.52,1233.65,-97.48
52.40,1685,380,0.51,1.87,-588.43,71.96
52.43,1684,380,-21.05,3.19,-646.66,39.33
