Frame,Time (s),Point ID,X,Y,Vx,Vy,Ax,Ay
13,0.43,1,607,950,264.83,-155.68,7678.49,-4936.67
13,0.43,2,585,974,253.18,-146.73,7319.40,-4677.83
13,0.43,3,593,944,270.47,-149.62,7849.44,-4753.36
13,0.43,4,603,981,249.12,-141.72,7207.36,-4517.85
13,0.43,5,600,947,264.20,-156.84,7659.08,-4972.06
13,0.43,6,592,980,271.66,-144.44,7962.28,-4520.66
14,0.47,0,592,943,256.46,-138.59,7425.68,-4425.82
14,0.47,1,615,945,249.94,-129.90,7233.40,-4161.90
14,0.47,2,594,970,273.13,-138.09,7940.86,-4395.74
14,0.47,3,601,940,255.68,-131.06,7400.02,-4202.31
14,0.47,4,611,975,260.65,-154.41,7570.51,-4881.56
14,0.47,5,608,943,259.29,-124.70,7514.39,-4005.21
14,0.47,6,600,975,254.31,-147.21,7357.58,-4688.05
15,0.50,0,601,939,255.65,-147.65,7413.04,-4685.82
15,0.50,1,624,940,262.69,-151.05,7630.77,-4781.58
15,0.50,2,603,965,264.03,-135.51,7647.79,-4338.41
15,0.50,3,610,935,260.99,-151.04,7574.16,-4786.88
15,0.50,4,621,971,275.28,-138.35,7997.82,-4411.18
15,0.50,5,617,938,252.63,-159.48,7319.63,-5043.56
15,0.50,6,609,971,273.45,-133.41,7949.18,-4256.52
16,0.53,0,609,934,256.76,-137.07,7447.14,-4367.89
16,0.53,1,633,936,249.90,-135.92,7234.27,-4340.38
16,0.53,2,612,961,261.76,-134.25,7588.83,-4291.40
16,0.53,3,619,931,260.03,-127.37,7539.90,-4081.98
16,0.53,4,629,966,256.01,-142.78,7404.98,-4558.80
16,0.53,5,625,934,262.98,-124.49,7636.76,-3987.32
16,0.53,6,618,966,253.69,-143.33,7337.38,-4573.33
17,0.57,0,617,929,249.60,-135.94,7231.19,-4334.99
17,0.57,1,641,932,249.90,-130.42,7247.12,-4162.51
17,0.57,2,620,956,247.62,-141.50,7166.97,-4506.77
17,0.57,3,627,926,259.22,-131.32,7516.53,-4199.62
17,0.57,4,637,961,248.97,-146.06,7212.99,-4637.80
17,0.57,5,634,929,248.82,-128.70,7201.73,-4123.96
17,0.57,6,626,961,250.42,-140.94,7258.81,-4481.78
18,0.60,0,626,925,250.17,-137.70,7255.38,-4380.57
18,0.60,1,649,927,235.10,-134.70,6803.21,-4291.00
18,0.60,2,631,953,320.43,-100.57,9365.41,-3264.85
18,0.60,3,636,922,246.02,-133.24,7121.34,-4256.43
18,0.60,4,645,957,233.74,-138.99,6763.28,-4418.66
18,0.60,5,642,925,246.58,-132.76,7148.44,-4231.70
18,0.60,6,633,956,200.85,-160.79,5775.03,-5074.07
19,0.63,0,634,920,243.59,-137.16,7057.55,-4364.82
19,0.63,1,657,922,249.65,-136.65,7254.39,-4334.71
19,0.63,2,639,948,246.38,-148.97,7071.06,-4789.51
19,0.63,3,644,917,257.99,-135.11,7493.63,-4299.20
19,0.63,4,653,952,240.53,-138.23,6982.19,-4380.64
19,0.63,5,650,921,251.47,-134.14,7297.63,-4270.81
19,0.63,6,642,951,266.35,-130.29,7789.73,-4109.45
20,0.67,0,642,916,241.44,-140.59,6999.75,-4461.41
20,0.67,1,665,918,241.94,-134.08,7008.52,-4272.18
20,0.67,2,647,943,230.27,-142.34,6661.60,-4516.66
20,0.67,3,653,913,257.21,-127.33,7458.37,-4077.77
20,0.67,4,661,947,234.68,-133.83,6800.00,-4255.54
20,0.67,5,658,916,243.23,-128.12,7045.37,-4094.93
20,0.67,6,650,947,258.68,-134.43,7494.17,-4299.32
21,0.70,0,650,911,244.27,-126.95,7086.66,-4049.91
21,0.70,1,673,914,223.00,-123.64,6447.96,-3951.25
21,0.70,2,655,939,250.04,-127.85,7271.03,-4065.65
21,0.70,3,661,909,241.75,-124.92,6995.41,-4004.81
21,0.70,4,669,943,240.17,-141.18,6970.37,-4470.13
21,0.70,5,666,912,233.35,-122.49,6757.37,-3917.94
21,0.70,6,658,943,238.32,-130.09,6890.78,-4161.41
22,0.73,0,658,907,230.75,-128.29,6678.21,-4093.11
22,0.73,1,680,910,235.90,-132.04,6853.90,-4184.34
22,0.73,2,664,934,251.03,-127.69,7280.75,-4080.70
22,0.73,3,669,905,228.20,-129.73,6604.21,-4133.66
22,0.73,4,677,939,223.02,-124.93,6450.50,-3987.99
22,0.73,5,674,908,234.52,-131.21,6802.18,-4169.64
22,0.73,6,667,938,267.33,-122.81,7781.59,-3922.47
23,0.77,0,665,903,230.38,-125.27,6680.53,-3988.95
23,0.77,1,688,905,226.17,-130.74,6549.20,-4158.02
23,0.77,2,671,930,230.49,-130.35,6663.71,-4161.45
23,0.77,3,677,900,249.94,-122.44,7270.13,-3901.31
23,0.77,4,684,934,235.47,-134.07,6841.19,-4245.06
23,0.77,5,682,904,235.03,-127.80,6816.23,-4068.47
23,0.77,6,674,934,195.77,-145.67,5605.79,-4637.47
24,0.80,0,673,899,229.17,-127.40,6644.81,-4052.24
24,0.80,1,696,901,232.41,-127.60,6746.03,-4054.19
24,0.80,2,678,925,211.32,-138.17,6109.06,-4375.47
24,0.80,3,684,896,215.00,-128.66,6199.91,-4109.77
24,0.80,4,692,930,224.50,-133.52,6499.47,-4241.03
24,0.80,5,690,899,230.54,-124.33,6681.31,-3965.05
24,0.80,6,683,929,259.15,-123.63,7578.70,-3904.54
25,0.83,0,681,895,224.80,-122.70,6514.95,-3910.20
25,0.83,1,703,897,213.96,-120.93,6186.41,-3860.20
25,0.83,2,686,921,241.56,-123.38,7035.37,-3912.78
25,0.83,3,691,892,222.53,-117.95,6461.01,-3753.47
25,0.83,4,699,925,225.21,-128.07,6531.76,-4066.53
25,0.83,5,697,895,219.11,-121.28,6342.90,-3868.94
25,0.83,6,691,925,252.32,-120.88,7310.59,-3885.52
26,0.87,0,688,890,226.48,-126.39,6569.63,-4016.41
26,0.87,1,710,893,215.30,-124.18,6244.90,-3939.48
26,0.87,2,694,917,222.25,-125.16,6426.05,-3996.41
26,0.87,3,699,888,220.17,-124.16,6382.56,-3947.45
26,0.87,4,707,921,214.54,-129.18,6211.08,-4100.69
26,0.87,5,704,891,221.13,-122.22,6414.81,-3885.64
26,0.87,6,698,921,226.70,-130.81,6548.76,-4176.59
27,0.90,0,695,886,218.54,-120.84,6329.72,-3851.58
27,0.90,1,717,889,218.64,-121.63,6343.82,-3864.13
27,0.90,2,701,913,215.86,-134.04,6253.64,-4243.41
27,0.90,3,706,884,212.93,-120.55,6167.61,-3836.76
27,0.90,4,714,917,222.89,-120.10,6472.18,-3817.56
27,0.90,5,711,887,213.35,-120.82,6179.28,-3845.74
27,0.90,6,706,917,218.57,-124.06,6330.49,-3948.49
28,0.93,0,703,882,212.61,-120.69,6159.79,-3839.25
28,0.93,1,724,884,212.52,-125.02,6156.89,-3969.09
28,0.93,2,708,908,208.61,-129.97,6042.50,-4115.02
28,0.93,3,713,880,224.84,-121.54,6532.40,-3859.23
28,0.93,4,721,913,220.37,-124.17,6388.13,-3948.08
28,0.93,5,718,883,214.52,-124.71,6222.39,-3954.69
28,0.93,6,713,913,207.77,-127.77,6014.41,-4051.65
29,0.97,0,710,878,216.74,-120.02,6289.54,-3813.16
29,0.97,1,731,881,208.62,-114.84,6046.12,-3657.61
29,0.97,2,716,905,239.96,-111.82,6990.18,-3563.18
29,0.97,3,720,876,199.89,-120.38,5771.93,-3836.10
29,0.97,4,728,909,214.19,-121.20,6205.32,-3856.46
29,0.97,5,726,879,210.65,-116.71,6105.09,-3715.92
29,0.97,6,721,909,250.63,-116.39,7311.00,-3699.55
30,1.00,0,717,874,206.67,-117.05,5983.23,-3728.30
30,1.00,1,738,877,206.42,-119.44,5984.04,-3791.81
30,1.00,2,722,900,199.52,-122.64,5745.56,-3919.23
30,1.00,3,727,872,202.97,-115.57,5889.28,-3667.07
30,1.00,4,735,905,198.27,-119.52,5734.03,-3799.74
30,1.00,5,732,875,203.66,-117.94,5899.01,-3748.86
30,1.00,6,727,905,182.18,-125.26,5214.85,-4008.44
31,1.03,0,724,870,206.73,-117.08,5995.28,-3719.10
31,1.03,1,745,873,197.04,-118.02,5704.83,-3746.93
31,1.03,2,729,896,196.11,-119.57,5683.72,-3786.55
31,1.03,3,733,868,200.76,-117.64,5819.84,-3732.17
31,1.03,4,742,901,220.67,-119.94,6421.81,-3796.52
31,1.03,5,739,871,197.24,-119.93,5713.47,-3801.68
31,1.03,6,734,901,195.41,-121.15,5680.18,-3816.68
32,1.07,0,730,867,200.74,-115.52,5815.48,-3672.37
32,1.07,1,751,869,198.90,-113.30,5769.85,-3596.10
32,1.07,2,736,892,205.77,-118.88,5977.00,-3762.43
32,1.07,3,740,864,192.74,-117.99,5581.51,-3740.61
32,1.07,4,749,897,192.53,-120.75,5555.12,-3843.19
32,1.07,5,746,867,200.29,-115.74,5811.40,-3669.30
32,1.07,6,740,896,193.38,-123.93,5605.92,-3913.35
33,1.10,0,737,863,202.01,-110.39,5859.65,-3512.51
33,1.10,1,758,865,196.96,-114.49,5710.04,-3633.50
33,1.10,2,743,889,200.67,-116.48,5814.35,-3700.19
33,1.10,3,747,861,199.38,-113.89,5788.65,-3609.49
33,1.10,4,755,893,197.11,-120.87,5720.75,-3818.51
33,1.10,5,752,864,196.45,-115.68,5693.22,-3670.59
33,1.10,6,747,893,211.23,-116.16,6143.48,-3678.08
34,1.13,0,744,859,200.99,-110.92,5827.67,-3529.50
34,1.13,1,765,861,197.40,-114.46,5725.00,-3630.85
34,1.13,2,749,885,193.24,-119.08,5596.54,-3773.09
34,1.13,3,753,857,197.35,-112.71,5721.10,-3580.64
34,1.13,4,762,889,195.05,-118.04,5654.37,-3738.44
34,1.13,5,759,860,194.78,-111.80,5646.96,-3550.30
34,1.13,6,754,889,193.20,-118.33,5584.88,-3761.24
35,1.17,0,750,855,195.86,-116.44,5674.77,-3694.31
35,1.17,1,771,858,190.57,-113.85,5519.83,-3612.94
35,1.17,2,756,881,198.73,-117.80,5768.76,-3727.32
35,1.17,3,760,853,193.70,-116.55,5613.65,-3693.91
35,1.17,4,768,885,172.24,-122.68,4972.20,-3875.36
35,1.17,5,765,856,189.61,-114.98,5493.50,-3644.16
35,1.17,6,760,884,178.65,-127.03,5166.31,-4004.20
36,1.20,0,757,852,193.08,-102.16,5596.68,-3260.55
36,1.20,1,777,854,193.07,-109.58,5601.58,-3477.85
36,1.20,2,762,877,195.07,-111.84,5653.24,-3553.85
36,1.20,3,766,849,186.25,-103.13,5393.89,-3287.72
36,1.20,4,774,881,184.04,-118.64,5348.83,-3731.43
36,1.20,5,771,852,189.25,-108.28,5487.96,-3437.99
36,1.20,6,765,880,172.37,-119.94,4992.56,-3776.73
37,1.23,0,763,848,192.24,-110.13,5574.19,-3496.95
37,1.23,1,783,850,183.25,-105.96,5304.54,-3371.97
37,1.23,2,768,873,180.32,-118.41,5214.55,-3747.38
37,1.23,3,772,846,182.43,-108.90,5286.59,-3453.37
37,1.23,4,780,877,180.57,-119.41,5233.10,-3766.35
37,1.23,5,777,849,183.51,-108.38,5315.94,-3440.60
37,1.23,6,771,876,175.30,-120.31,5086.56,-3781.60
